Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,2.2uF/50V,C_0805_2012Metric,175.6812,-88.3616,0,top
C2,10uF,C_0805_2012Metric,139.0781,-118.6383,180,top
C3,1uF,C_0805_2012Metric,139.0781,-120.7921,180,top
C4,1uF/50V,C_0805_2012Metric,175.702,-99.4918,0,top
C5,100nF/25V,C_0603_1608Metric,139.2531,-122.6717,0,top
C6,100nF/50V,C_0603_1608Metric,175.702,-106.3752,-90,top
C7,1.1nF/25V,C_0603_1608Metric,151.9559,-119.656233,180,top
C8,100nF/50V,C_0603_1608Metric,170.9452,-106.3752,90,top
C9,100nF/50V,C_0603_1608Metric,161.671,-106.2623,0,top
C10,10uF,C_0805_2012Metric,144.9709,-113.5545,-90,top
C11,1uF/50V,C_0805_2012Metric,170.9452,-99.5172,180,top
C12,1uF/50V,C_0805_2012Metric,165.608,-103.1494,180,top
C13,10uF,C_0805_2012Metric,147.1807,-113.5545,-90,top
C14,2.2uF/50V,C_0805_2012Metric,170.942,-88.3412,180,top
C15,100nF/25V,C_0603_1608Metric,157.6378,-114.6556,0,top
C16,1uF/25V,C_0805_2012Metric,160.9144,-117.3621,90,top
D2,BAT54S,SOT-23,175.702,-102.7661,90,top
D3,MBR0520,D_SOD-123F,142.4817,-114.0045,-90,top
D4,BAT54S,SOT-23,170.9452,-102.7938,90,top
D5,BAT54S,SOT-23,165.6205,-106.2623,180,top
D12,BZX84Cxx,SOT-23,175.6895,-95.0316,180,top
D13,BZX84Cxx,SOT-23,170.9577,-95.2066,0,top
J1,Conn_01x40_MountingPin,Omron_XF2M-4015-1A_1x40-1MP_P0.5mm_Horizontal,116.6218,-119.634,0,top
J2,Conn_01x50_MountingPin,CON50_1X50_DRB_XF2C_TYC,116.6218,-80.4182,0,top
J3,Conn_01x50_MountingPin,CON50_1X50_DRB_XF2C_TYC,164.1452,-80.4182,0,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,144.0692,-123.5202,90,top
L1,3.3uH,L_Abracon_ASPI-0425,138.8164,-114.6453,90,top
Q1,BC857,SOT-23,175.6687,-91.3486,180,top
Q2,BC850,SOT-23,170.9545,-91.2509,180,top
R1,1K,R_0603_1608Metric,175.577,-97.536,180,top
R2,10R,R_0603_1608Metric,139.6414,-108.7628,0,top
R3,30K,R_0603_1608Metric,151.9559,-121.3157,0,top
R4,120K,R_0603_1608Metric,151.9559,-116.3373,0,top
R5,18K,R_0603_1608Metric,151.9559,-117.996767,0,top
R6,1K,R_0603_1608Metric,171.0702,-97.5614,180,top
R7,49.9K,R_0603_1608Metric,157.6378,-121.2088,180,top
R8,49.9K,R_0603_1608Metric,157.6378,-122.7977,180,top
RV1,50K,Potentiometer_ACP_CA9-V10_Vertical_Hole,170.0946,-121.6622,90,top
U1,TPS61085PW,TSSOP-8_4.4x3mm_P0.65mm,145.3442,-118.9633,180,top
U2,LM7321,SOT-23-5,157.587,-117.3621,180,top
